filepath,fps,nframes,duration,width,height,speaker,sentence_id
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_326_330.avi,23.18,714,30.802416,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_426_430.avi,23.18,645,27.825712,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_116_120.avi,23.18,599,25.841242,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_051_055.avi,23.18,567,24.460742,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_021_025.avi,23.18,482,20.793788,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_226_230.avi,23.18,505,21.786022,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_446_450.avi,23.18,528,22.778257,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_076_080.avi,23.18,568,24.503883,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_031_035.avi,23.18,564,24.33132,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_041_045.avi,23.18,602,25.970664,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_246_250.avi,23.18,545,23.511648,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_176_180.avi,23.18,490,21.138913,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_196_200.avi,23.18,599,25.841242,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_131_135.avi,23.18,605,26.100086,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_096_100.avi,23.18,553,23.856773,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_141_145.avi,23.18,659,28.429681,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_346_350.avi,23.18,557,24.029336,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_261_265.avi,23.18,680,29.335634,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_411_415.avi,23.18,531,22.907679,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_066_070.avi,23.18,578,24.935289,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_381_385.avi,23.18,592,25.539258,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_356_360.avi,23.18,601,25.927524,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_186_190.avi,23.18,594,25.625539,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_211_215.avi,23.18,469,20.232959,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_361_365.avi,23.18,589,25.409836,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_456_460.avi,23.18,658,28.38654,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_166_170.avi,23.18,510,22.001726,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_281_285.avi,23.18,740,31.924072,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_311_315.avi,23.18,721,31.1044,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_086_090.avi,23.18,580,25.02157,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_256_260.avi,23.18,659,28.429681,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_301_305.avi,23.18,721,31.1044,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_106_110.avi,23.18,570,24.590164,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_036_040.avi,23.18,594,25.625539,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_291_295.avi,23.18,617,26.617774,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_371_375.avi,23.18,662,28.559103,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_201_205.avi,23.18,535,23.080242,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_136_140.avi,23.18,611,26.35893,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_391_395.avi,23.18,671,28.947368,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_006_010.avi,23.18,519,22.389991,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_401_405.avi,23.18,623,26.876618,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_271_275.avi,23.18,556,23.986195,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_316_320.avi,23.18,817,35.245902,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_421_425.avi,23.18,589,25.409836,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_251_255.avi,23.18,667,28.774806,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_026_030.avi,23.18,581,25.064711,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_221_225.avi,23.18,543,23.425367,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_451_455.avi,23.18,646,27.868852,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_351_355.avi,23.18,633,27.308024,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_216_220.avi,23.18,589,25.409836,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_396_400.avi,23.18,668,28.817947,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_126_130.avi,23.18,569,24.547023,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_321_325.avi,23.18,588,25.366695,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_416_420.avi,23.18,476,20.534944,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_376_380.avi,23.18,595,25.66868,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_331_335.avi,23.18,706,30.457291,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_146_150.avi,23.18,642,27.69629,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_296_300.avi,23.18,734,31.665229,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_341_345.avi,23.18,587,25.323555,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_441_445.avi,23.18,612,26.402071,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_276_280.avi,23.18,568,24.503883,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_231_235.avi,23.18,549,23.684211,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_046_050.avi,23.18,631,27.221743,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_241_245.avi,23.18,498,21.484038,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_431_435.avi,23.18,483,20.836928,68,68,M1,avi
